Type,ID,k,K,delta,b,I0,r,PS,P0,maxViral,TimeMax,cumViral
Contact SAT1 Hapto,SAT1,0.1106847,6.878213,1.730835,0.3353503,2.630462,3.485404,0.008974521,0.008586764,6.829499,3.645,28.9342
Contact SAT1 Hapto,SAT1,0.1072862,6.66095,1.884141,0.3389752,2.89564,3.614459,0.008863696,0.009302711,6.616645,3.5225,28.14394
Contact SAT1 Hapto,SAT1,0.1163117,5.952343,1.89119,0.3732397,2.588719,3.586499,0.009433135,0.00872212,5.912509,3.57,25.50101
Contact SAT1 Hapto,SAT1,0.1273515,6.491573,1.947561,0.3596606,2.469118,3.491937,0.008905193,0.008683367,6.44246,3.66,27.17339
Contact SAT1 Hapto,SAT1,0.1254931,7.068931,1.862387,0.3262727,2.458898,3.392505,0.009085291,0.008616824,7.016836,3.725,29.70827
Contact SAT1 Hapto,SAT1,0.1365506,6.638692,1.932222,0.3353133,2.45991,3.352697,0.007469697,0.007786073,6.591913,3.785,28.16339
Contact SAT1 Hapto,SAT1,0.1167865,7.001782,1.822091,0.3199895,2.5327,3.486722,0.00879583,0.008385562,6.9549,3.6925,29.94527
Contact SAT1 Hapto,SAT1,0.1120652,6.641404,1.697637,0.335634,2.568174,3.48935,0.008924292,0.008843047,6.598391,3.6775,28.63827
Contact SAT1 Hapto,SAT1,0.1311767,7.288303,1.737805,0.3199119,2.627738,3.316008,0.00811302,0.008242751,7.233011,3.815,30.19226
Contact SAT1 Hapto,SAT1,0.139285,6.489359,1.802041,0.3351166,2.378912,3.423695,0.00898699,0.008953999,6.450744,3.745,28.60718
Contact SAT1 Hapto,SAT1,0.1257821,7.341987,1.72502,0.3065623,2.511286,3.500403,0.007948872,0.008513493,7.293561,3.695,31.45691
Contact SAT1 Hapto,SAT1,0.134207,7.054163,1.735075,0.3220803,2.290298,3.341406,0.007824194,0.008171221,7.007021,3.8225,29.87122
Contact SAT1 Hapto,SAT1,0.09902139,7.767868,1.878951,0.3213353,2.771163,3.346289,0.009168917,0.008599359,7.698388,3.7125,29.93822
Contact SAT1 Hapto,SAT1,0.1039276,7.092953,1.816609,0.3241608,2.866399,3.438018,0.008650485,0.008584485,7.023994,3.735,28.89651
Contact SAT1 Hapto,SAT1,0.1237124,6.087575,1.8166,0.3574745,2.510821,3.473268,0.00841191,0.0079725,6.051104,3.66,26.63801
Contact SAT1 Hapto,SAT1,0.1118481,6.656473,1.791681,0.3271665,2.630577,3.523395,0.008247082,0.00863081,6.612825,3.6675,28.94506
Contact SAT1 Hapto,SAT1,0.1043496,6.974312,1.827093,0.3219785,2.779111,3.317114,0.008309604,0.008372954,6.919226,3.7875,29.26344
Contact SAT1 Hapto,SAT1,0.1192555,5.930554,2.018484,0.3692404,2.532373,4.057897,0.008493942,0.00845989,5.893836,3.3575,26.08289
Contact SAT1 Hapto,SAT1,0.1207597,6.535155,2.119217,0.3371179,2.402314,4.002246,0.008895045,0.009527851,6.494561,3.4325,28.84698
Contact SAT1 Hapto,SAT1,0.1254331,6.350875,1.912105,0.3419848,2.493925,3.532953,0.007586143,0.00809228,6.314103,3.6525,27.67493
Contact SAT1 Hapto,SAT1,0.1043433,6.865522,1.822925,0.3318684,2.740305,3.326033,0.008565305,0.008915134,6.809936,3.7725,28.44919
Contact SAT1 Hapto,SAT1,0.1058498,6.225533,1.869192,0.3466677,2.740873,3.562641,0.008969754,0.008661297,6.191767,3.61,28.22762
Contact SAT1 Hapto,SAT1,0.1179377,6.922823,2.070424,0.3140002,2.657951,3.497099,0.008885178,0.00884759,6.876497,3.6275,29.62428
Contact SAT1 Hapto,SAT1,0.1224659,6.895394,1.784483,0.3336508,2.585199,3.285953,0.008558282,0.008170396,6.841765,3.8025,28.24
Contact SAT1 Hapto,SAT1,0.1177435,7.683312,1.796237,0.2991066,2.721666,3.358959,0.008154274,0.008536566,7.621853,3.7875,32.11758
Contact SAT1 Hapto,SAT1,0.1041209,6.403035,1.933152,0.3550353,2.802939,3.385821,0.008299863,0.008356512,6.351559,3.685,26.44687
Contact SAT1 Hapto,SAT1,0.1120041,6.019475,2.138575,0.3628198,2.839625,3.447705,0.009578827,0.00910792,5.967475,3.6375,25.75768
Contact SAT1 Hapto,SAT1,0.1353566,6.644332,1.7195,0.3381452,2.306489,3.241676,0.007902063,0.008245641,6.594365,3.8825,28.39375
Contact SAT1 Hapto,SAT1,0.1052955,6.171178,1.895671,0.3593379,2.560703,3.680844,0.008430636,0.008097425,6.133757,3.575,27.02212
Contact SAT1 Hapto,SAT1,0.1187423,7.143566,1.860205,0.3063661,2.63606,3.462952,0.008912502,0.008806741,7.096949,3.695,30.65515
Contact SAT1 Hapto,SAT1,0.09732203,7.374547,1.757149,0.3035407,2.855375,3.398545,0.008598331,0.008491441,7.322206,3.745,30.89215
Contact SAT1 Hapto,SAT1,0.1205775,6.905115,1.850375,0.3295757,2.465103,3.491465,0.008798631,0.008458791,6.859193,3.6525,28.85466
Contact SAT1 Hapto,SAT1,0.1129404,6.199931,1.851191,0.3487954,2.489328,3.451482,0.008198407,0.008190601,6.158495,3.7325,27.18039
Contact SAT1 Hapto,SAT1,0.1095207,7.241216,1.805087,0.3287669,2.650821,3.346342,0.00802963,0.008007588,7.181427,3.7575,29.07106
Contact SAT1 Hapto,SAT1,0.09485636,6.90781,1.870511,0.3259133,2.848211,3.340502,0.008381904,0.00833883,6.853252,3.7575,28.78147
Contact SAT1 Hapto,SAT1,0.1435555,6.385566,1.893379,0.3384239,2.146334,3.532102,0.008052479,0.008439814,6.34943,3.6525,28.63838
Contact SAT1 Hapto,SAT1,0.1062335,6.960475,1.809316,0.3153502,2.787028,3.490549,0.009146413,0.008830228,6.912454,3.6825,30.54413
Contact SAT1 Hapto,SAT1,0.09869494,6.424963,1.853255,0.3224746,2.774908,3.621846,0.008456826,0.00852504,6.388707,3.6375,29.22292
Contact SAT1 Hapto,SAT1,0.1139369,6.81888,1.839797,0.3321801,2.590909,3.343623,0.00800754,0.008137606,6.769073,3.7675,28.46305
Contact SAT1 Hapto,SAT1,0.1190966,6.260857,1.770808,0.3610919,2.384198,3.432151,0.008027059,0.008054372,6.216989,3.7225,26.68152
Contact SAT1 Hapto,SAT1,0.1092289,6.012696,1.778714,0.3482934,2.710686,3.546405,0.008782564,0.008828688,5.980206,3.6275,27.18495
Contact SAT1 Hapto,SAT1,0.09521872,6.138199,1.662268,0.3399334,2.876449,3.331393,0.008330528,0.008277636,6.093989,3.84,27.55335
Contact SAT1 Hapto,SAT1,0.09933936,6.753485,1.791906,0.3388167,2.849203,3.362419,0.007459255,0.007965282,6.698623,3.765,28.08544
